id,retailer,fascia,store_name,add_one,add_two,town,suburb,postcode,long_wgs,lat_wgs,bng_e,bng_n,pqi,open_date,size_band,county
1010006872,Whole Foods Market,Whole Foods Market,Whole Foods Kensington High St,63 Kensington Hight St,,London,Kensington,W8 5SE,-0.1903605497207408,51.50168412705519,525703.0416706083,179635.26629188278,Rooftop,20079999.0,"30,138 ft2 > (2,800 m2)",Greater London
1010003961,Sainsburys,Sainsburys Local,Sainsburys Westbourne Grove Local,86-94 Westbourne Grove,,London,Royal Oak,W2 5RT,-0.1935635437375083,51.51535340258112,525443.2214954153,181149.85819996963,Rooftop,,"< 3,013 ft2 (280m2)",Greater London
1010005844,Tesco,Tesco Express,Tesco White City Express,Bbc Media Centre,201 Wood Lane,London,White City,W12 7TU,-0.2277228206373203,51.51308371744373,523079.23148926697,180839.5081944232,Rooftop,,"< 3,013 ft2 (280m2)",Greater London
1010001614,Marks and Spencer,Marks and Spencer,M&S White City,Westfield Shopping Centre,Ariel Way,London,Shepherd's Bush,W12 7GA,-0.2203626000532404,51.50845978792865,523602.441490656,180337.69819352968,Rooftop,,"30,138 ft2 > (2,800 m2)",Greater London
1010018991,Aldi,Aldi Local,Aldi Little Venice,466-490 Edgware Rd,,London,Lisson Grove,W2 1EJ,-0.175449637207279,51.524042104648814,526675.9391283209,182147.25787547365,Rooftop,20210399.0,"3,013 < 15,069 ft2 (280 < 1,400 m2)",Greater London
1010005842,Tesco,Tesco Express,Tesco North Kensington Express,13-15 North Pole Road,North Kensington,London,North Kensington,W10 6QH,-0.2258146979518537,51.51975655152392,523193.64148953167,181584.76819739776,Rooftop,,"< 3,013 ft2 (280m2)",Greater London
1010001589,Marks and Spencer,Marks and Spencer,M&S Cardinal Place Victoria,Cardinal Place,Victoria Street,London,St James's Park,SW1E 5JE,-0.1413023705199493,51.4979998162745,529118.2915050047,179310.8781999756,Rooftop,,"15,069 < 30,138 ft2 (1,400 < 2,800 m2)",Greater London
1010003873,Sainsburys,Sainsburys Local,Sainsburys Victoria Coach Station Local,14-20 Elizabeth Street,,London,Belgravia,SW1W 9RB,-0.1493042717235593,51.49314495977665,528576.531503628,178756.92819692538,Rooftop,,"< 3,013 ft2 (280m2)",Greater London
1010006487,Tesco,Tesco Express,Tesco Regent Street Express,17-25 Regent Street,,London,St James',SW1Y 4LR,-0.1345294060776234,51.50886999175711,529557.591506091,180531.6382053091,Rooftop,,"3,013 < 15,069 ft2 (280 < 1,400 m2)",Greater London
1010002128,Marks and Spencer,Marks and Spencer Travel SF,M&S Victoria Rail SF,Unit 1 Victoria Station Front,Victoria Mainline Station,London,Victoria,SW1V 1JY,-0.1445213075756177,51.49568134931331,528901.4015044551,179047.38819859835,Rooftop,,"< 3,013 ft2 (280m2)",Greater London
